time,input_aIL6R,input_aIL1A,input_aIL1B,input_aTNFA,input_aIL1R,input_aIL10R,input_IFNG,TNFA_mfi,TNFA_mfi_std,IL1A_mfi,IL1A_mfi_std,IL1B_mfi,IL1B_mfi_std,IL6_mfi,IL6_mfi_std,IL10_mfi,IL10_mfi_std,p19_mfi,p19_mfi_std
16,1,1,1,1,0,1,0,0.01449014,1,0.157878446,1,0.198524876,1,0.041816502,1,0.061932427,1,0,1
16,1,1,1,1,0,1,0,0.043041665,1,0.112129217,1,0.161553294,1,0.039499872,1,0.021308152,1,0,1
16,1,1,1,1,0,1,0,0.010613715,1,0.141287005,1,0.196575702,1,0.077047726,1,0.035434398,1,0.000468538,1
16,1,1,1,1,0,1,0,0.063561611,1,0.30875678,1,0.332532635,1,0.129639103,1,0.038808155,1,0.001670454,1
16,1,1,1,1,0,1,0,0.066973193,1,0.252145689,1,0.31248929,1,0.123005523,1,0.026461155,1,0.001188658,1
16,1,1,1,1,0,1,0,0.12270257,1,0.151495041,1,0.187621007,1,0.02790798,1,0.020000313,1,0,1
16,1,1,1,1,0,1,0,0.054244134,1,0.166278676,1,0.221172403,1,0.059350934,1,0.044600085,1,0,1
16,1,1,1,1,0,1,0,0.053077432,1,0.156748194,1,0.196160484,1,0.033640331,1,0.038432895,1,0,1
16,1,1,1,1,0,1,0,0.062696007,1,0.095259792,1,0.149703982,1,0.012248386,1,0.031218794,1,0,1
16,1,1,1,1,0,1,0,0.122945489,1,0.100789553,1,0.177958988,1,0.038918177,1,0.030184945,1,0.016624867,1
16,1,1,1,1,0,1,0,0.144736419,1,0.123131383,1,0.166837046,1,0.054596416,1,0.021433049,1,0,1
16,1,1,1,1,0,1,0,0.35740234,1,0.16010961,1,0.234705563,1,0.091615277,1,0.069717248,1,0,1
16,1,1,1,1,0,1,0,0.150161285,1,0.230203063,1,0.271814948,1,0.080788461,1,0.039021859,1,0,1
16,1,1,1,1,0,1,0,0.074936561,1,0.249857105,1,0.296587258,1,0.170995942,1,0.150772269,1,0,1
16,1,1,1,1,0,1,0,0.34651792,1,0.199223326,1,0.235863368,1,0.07251334,1,0.051892281,1,0.014672115,1
16,1,1,1,1,0,1,0,0.258260859,1,0.116834484,1,0.156700788,1,0.02344933,1,0.048391963,1,0.010100164,1
16,1,1,1,1,0,1,0,0.168810613,1,0.153793835,1,0.253781734,1,0.05960817,1,0.075905256,1,0,1
16,1,1,1,1,0,1,0,0.172365285,1,0.170885952,1,0.196593139,1,0.062468996,1,0.028907872,1,0.001744612,1
16,1,1,1,1,0,1,0,0.259955474,1,0.197241328,1,0.221750958,1,0.082287268,1,0.071905151,1,0,1
16,1,1,1,1,1,1,0,0.144674137,1,0.363783901,1,0.424975323,1,0.361125493,1,0.28744515,1,0.010947997,1
16,1,1,1,1,1,1,0,0.318851418,1,0.2606985,1,0.338239537,1,0.194943766,1,0.223312082,1,0.012851583,1
16,1,1,1,1,1,1,0,0.274331027,1,0.336313479,1,0.41687083,1,0.316964925,1,0.449126744,1,0.01544566,1
16,1,1,1,1,1,1,0,0.257373907,1,0.206092201,1,0.291007346,1,0.168344414,1,0.214747083,1,0.036394883,1
16,1,1,1,1,1,1,0,0.056285098,1,0.297838584,1,0.375786655,1,0.31619668,1,0.40463243,1,0.013776448,1
16,1,1,1,1,1,1,0,0.050444824,1,0.326726884,1,0.418291206,1,0.308028944,1,0.421999239,1,0.020371385,1
16,1,1,1,1,1,1,0,0.05979609,1,0.251134365,1,0.331387487,1,0.258320961,1,0.290138736,1,0.004578067,1
16,1,1,1,1,1,1,0,0.060258678,1,0.286506612,1,0.39731698,1,0.302897378,1,0.401372581,1,0.006555352,1
16,1,1,1,1,1,1,0,0.113921139,1,0.48378053,1,0.476413604,1,0.44945489,1,0.391556387,1,0.075970891,1
16,1,1,1,1,1,1,0,0.091809814,1,0.417208976,1,0.444908946,1,0.413303135,1,0.245010691,1,0.06118294,1
16,1,1,1,1,1,1,0,0.23856106,1,0.280350416,1,0.348334721,1,0.208111797,1,0.198158801,1,0,1
16,1,1,1,1,1,1,0,0.107352968,1,0.278139677,1,0.32098066,1,0.287688819,1,0.234047152,1,0.000937819,1
16,1,1,1,1,1,1,0,0.152858368,1,0.28486237,1,0.337498278,1,0.23075777,1,0.229952618,1,0.003625147,1
16,1,1,1,1,1,1,0,0.019797736,1,0.266502009,1,0.336621033,1,0.207776064,1,0.228085583,1,0,1
16,1,1,1,1,1,1,0,0.171760813,1,0.120946373,1,0.212324843,1,0.103548047,1,0.083546693,1,0.014532728,1
16,1,1,1,1,1,1,0,0.186804124,1,0.207063706,1,0.244310461,1,0.214577285,1,0.112583271,1,0.005628708,1
16,1,1,1,1,1,1,0,0.228124192,1,0.131816902,1,0.175068222,1,0.094550931,1,0.053514936,1,0,1
16,1,1,1,1,1,1,1,0.231696174,1,0.324323944,1,0.321343975,1,0.569888058,1,0.12436496,1,0.018774458,1
